 ALTURA GPSALT IGRF mag_res1 LAT LONG Line MAGIGRF X Y
172 351.68 699.13 22764.689 23.471236262529438 -27.98147 -49.196683 12050 -37.681999999999995 6903540.0 677354.0
173 334.7 697.91 22764.696 21.553151909939146 -27.982616999999998 -49.196799 12050 -39.664 6903414.0 677340.0
174 290.72 697.82 22764.702999999998 20.293939460011245 -27.983764 -49.196907 12050 -40.986000000000004 6903287.0 677328.0
175 244.92 698.07 22764.711 21.080727010083457 -27.984913 -49.197005 12050 -40.262 6903160.0 677316.0
176 204.67 698.51 22764.718999999997 22.49116110910353 -27.98606 -49.197097 12050 -38.914 6903032.0 677305.0
177 223.4 699.5 22764.729 24.105624720319305 -27.987209000000004 -49.197169 12050 -37.36 6902905.0 677296.0
178 223.48 701.34 22764.74 25.43376439267852 -27.988359000000003 -49.197210999999996 12050 -36.09 6902778.0 677290.0
179 179.34 701.09 22764.754 26.19267738255843 -27.989511 -49.197196000000005 12050 -35.385 6902650.0 677290.0
180 203.57 606.76 22765.04 26.23556422991799 -27.989446 -49.191715 12060 -34.925 6902649.0 677829.0
181 219.92 596.6 22765.027000000002 25.260232754239972 -27.988457 -49.191734000000004 12060 -35.854 6902759.0 677829.0
182 221.43 589.85 22765.015 22.866480083328497 -27.987454 -49.191747 12060 -38.201 6902870.0 677829.0
183 222.54 587.82 22765.002999999997 19.667531570898205 -27.986447 -49.191753999999996 12060 -41.352 6902982.0 677830.0
184 231.73 588.03 22764.991 16.842004253701248 -27.985442 -49.191758 12060 -44.13 6903093.0 677831.0
185 252.7 588.53 22764.979 15.734476936504407 -27.984443 -49.191767999999996 12060 -45.19 6903204.0 677832.0
186 263.38 589.63 22764.967999999997 16.686370814540908 -27.983449 -49.191778 12060 -44.191 6903314.0 677833.0
187 252.2 591.47 22764.956000000002 18.285039338863 -27.982460999999997 -49.191793 12060 -42.54600000000001 6903424.0 677833.0
188 199.58 595.11 22764.944 21.47612905841845 -27.981477 -49.191807 12060 -39.309 6903533.0 677833.0
189 175.22 597.91 22764.932 24.24463997320735 -27.9805 -49.19182 12060 -36.495 6903641.0 677833.0
190 166.52 602.57 22764.92 25.640797436944105 -27.979531 -49.191836 12060 -35.053000000000004 6903748.0 677834.0
191 156.98 607.54 22764.908 25.74715074219992 -27.978574 -49.19185 12060 -34.902 6903854.0 677834.0
192 142.98 614.23 22764.897 25.514150596403596 -27.977629999999998 -49.191857 12060 -35.09 6903959.0 677835.0
193 132.47 622.84 22764.887000000002 25.357992841074186 -27.976701000000002 -49.191856 12060 -35.202 6904062.0 677836.0
194 88.38 631.06 22764.877 24.551902829926213 -27.975786 -49.191848 12060 -35.964 6904163.0 677838.0
195 68.55 638.11 22764.866 22.628234014011575 -27.974882 -49.191852000000004 12060 -37.844 6904263.0 677840.0
196 72.33 643.28 22764.855 21.3198891369535 -27.973986 -49.191868 12060 -39.111 6904363.0 677839.0
197 67.61 649.01 22764.845 20.07261200407674 -27.973097999999997 -49.191883000000004 12060 -40.317 6904461.0 677839.0
198 79.27 657.64 22764.834 18.347756066433433 -27.972222 -49.191899 12060 -42.001000000000005 6904558.0 677839.0
199 91.18 663.49 22764.824 17.247321324023474 -27.971353999999998 -49.191911 12060 -43.06100000000001 6904654.0 677839.0
200 97.62 665.42 22764.813 16.955690740094695 -27.970485999999998 -49.191918 12060 -43.31100000000001 6904751.0 677840.0
201 89.07 668.47 22764.803 16.040255997684852 -27.969615 -49.191935 12060 -44.18600000000001 6904847.0 677840.0
202 98.72 671.4 22764.792 14.793400060041563 -27.968744 -49.191947 12060 -45.391999999999996 6904944.0 677840.0
203 131.98 674.56 22764.782000000003 12.423769476112781 -27.967869 -49.191956 12060 -47.72 6905041.0 677841.0
204 145.82 672.22 22764.772 9.26891353846937 -27.966987 -49.191967 12060 -50.833999999999996 6905138.0 677841.0
205 142.07 662.71 22764.761000000002 7.278794015125811 -27.96609 -49.19198 12060 -52.782 6905238.0 677841.0
