 index ALTURA GPSALT IGRF mag_res reg LAT LONG Line MAGIGRF X Y
154 3781 76.61 1044.26 22766.089 42.2835907132687 -47.4785907132687 -27.795246999999996 -49.133972 12180 -5.195 6924083.0 683837.0
155 3782 72.71 1053.61 22766.078999999998 41.98103388387583 -47.43303388387583 -27.79425 -49.133992 12180 -5.452000000000001 6924193.0 683836.0
156 3783 100.16 1059.5 22766.069 41.73970240819759 -47.386702408197586 -27.793256 -49.134017 12180 -5.647 6924303.0 683836.0
157 3784 103.14 1061.52 22766.057999999997 43.1099202250903 -47.3419202250903 -27.792264000000003 -49.134046999999995 12180 -4.232 6924413.0 683834.0
158 3785 127.74 1061.67 22766.048 45.065942200464086 -47.29594220046408 -27.791266999999998 -49.134078 12180 -2.23 6924524.0 683833.0
159 3786 163.19 1058.96 22766.037 47.84173882212335 -47.250738822123346 -27.790260999999997 -49.134114000000004 12180 0.591 6924635.0 683831.0
160 3787 197.3 1054.09 22766.027000000002 47.62114376074473 -47.20314376074473 -27.789244 -49.134136 12180 0.418 6924748.0 683831.0
161 3788 212.69 1048.41 22766.017000000003 44.38590215041813 -47.155902150418136 -27.788214 -49.134156 12180 -2.77 6924862.0 683830.0
162 3789 221.34 1044.37 22766.007 38.950268857053786 -47.106268857053784 -27.787169 -49.134164 12180 -8.156 6924978.0 683831.0
163 3790 214.71 1044.23 22765.997000000003 31.954635563689425 -47.056635563689426 -27.786119 -49.134178000000006 12180 -15.102 6925094.0 683832.0
164 3791 182.35 1044.16 22765.987 23.770355721377097 -47.007355721377095 -27.785064000000002 -49.134189 12180 -23.237 6925211.0 683832.0
165 3792 136.88 1045.43 22765.977000000003 21.597301232779287 -46.95730123277929 -27.784011 -49.134206 12180 -25.36 6925328.0 683833.0
166 3793 111.36 1047.63 22765.966 25.37821723198578 -46.90921723198578 -27.782961 -49.134228 12180 -21.531 6925444.0 683832.0
167 3794 117.88 1058.03 22765.956000000002 28.62620097537382 -46.86120097537382 -27.781931 -49.13425 12180 -18.235 6925558.0 683832.0
168 3795 111.05 1070.71 22765.946 32.95780175551415 -46.81480175551415 -27.780919 -49.134275 12180 -13.857000000000001 6925670.0 683831.0
169 3796 126.01 1078.21 22765.936 39.06462788936899 -46.76762788936899 -27.779916999999998 -49.134297 12180 -7.702999999999999 6925782.0 683831.0
170 3797 130.66 1078.59 22765.926 53.80264986474277 -46.721649864742766 -27.778914 -49.134316999999996 12180 7.081 6925893.0 683830.0
171 3950 140.23 1169.7 22766.179 82.90931854179058 -46.31231854179059 -27.778142 -49.129406 12190 36.597 6925971.0 684316.0
172 3951 115.62 1166.66 22766.187 67.6671181644783 -46.365118164478304 -27.779206 -49.129422 12190 21.302 6925853.0 684312.0
173 3952 100.35 1166.46 22766.197 53.15394729936159 -46.41594729936159 -27.780264000000003 -49.129422 12190 6.7379999999999995 6925736.0 684310.0
174 3953 86.31 1167.17 22766.206000000002 41.943580592726065 -46.46558059272606 -27.781314000000002 -49.129417 12190 -4.522 6925620.0 684309.0
175 3954 128.22 1165.6 22766.216 27.003213886090414 -46.515213886090415 -27.782356 -49.129406 12190 -19.512 6925504.0 684308.0
176 3955 180.19 1161.99 22766.226000000002 29.61865133793583 -46.56365133793583 -27.783394 -49.129389 12190 -16.945 6925389.0 684308.0
177 3956 211.76 1155.91 22766.236 43.67031414349588 -46.61131414349588 -27.784431 -49.129366999999995 12190 -2.9410000000000003 6925274.0 684309.0
178 3957 221.33 1149.42 22766.247000000003 54.15697694905581 -46.65897694905581 -27.785469 -49.129336 12190 7.497999999999999 6925159.0 684310.0
179 3958 195.65 1144.45 22766.259 57.98486510833039 -46.705865108330386 -27.786510999999997 -49.129296999999994 12190 11.279000000000002 6925044.0 684312.0
180 3959 150.28 1142.43 22766.27 57.153174462838294 -46.753174462838295 -27.787553000000003 -49.129261 12190 10.4 6924928.0 684314.0
181 3960 111.69 1146.2 22766.281000000003 57.148837268398225 -46.800837268398226 -27.788589 -49.129228000000005 12190 10.347999999999999 6924813.0 684315.0
182 3961 88.71 1153.1 22766.292 57.90352958615386 -46.846529586153856 -27.789619000000002 -49.129189000000004 12190 11.057 6924699.0 684318.0
183 3962 88.33 1157.97 22766.303 59.218996550194966 -46.892996550194965 -27.790642 -49.129144000000004 12190 12.325999999999999 6924585.0 684320.0
184 3963 127.5 1156.5 22766.315 61.127267672717025 -46.938267672717025 -27.791669 -49.129094 12190 14.189 6924472.0 684323.0
185 3964 154.57 1149.68 22766.327999999998 63.38702773465408 -46.984027734654084 -27.792710999999997 -49.129036 12190 16.403 6924356.0 684327.0
186 3965 171.21 1135.88 22766.34 65.533434345539 -47.02943434553901 -27.793767 -49.128972 12190 18.504 6924239.0 684332.0
187 3966 179.42 1120.82 22766.353 67.14487918840967 -47.07687918840968 -27.794846999999997 -49.128917 12190 20.067999999999998 6924119.0 684336.0
188 3967 188.27 1109.93 22766.366 68.77894106803285 -47.125941068032844 -27.795953000000004 -49.128861 12190 21.653000000000002 6923997.0 684339.0
189 3968 212.14 1104.76 22766.377999999997 71.12426653335628 -47.17626653335628 -27.797071999999996 -49.128814 12190 23.948 6923872.0 684342.0
190 3969 219.01 1103.29 22766.391 74.03594544973173 -47.22694544973173 -27.7982 -49.128769 12190 26.809 6923748.0 684344.0
191 3970 192.88 1104.05 22766.403 75.79104556134054 -47.278045561340534 -27.799328000000003 -49.128735999999996 12190 28.513 6923623.0 684346.0
192 3971 167.94 1106.07 22766.414 72.25769496552041 -47.33069496552041 -27.800453000000005 -49.128714 12190 24.927 6923498.0 684346.0
193 3972 212.06 1109.3 22766.425 68.47192317446682 -47.382923174466825 -27.801571999999997 -49.128694 12190 21.089000000000002 6923374.0 684346.0
194 3973 253.5 1113.17 22766.436 68.09815138341324 -47.43515138341324 -27.802685999999998 -49.128678 12190 20.663 6923250.0 684346.0
