LINE,X,Y,Bx,By,Bz,Bm,DIST_ABS,MAG_REGIONAL,MAG_MOD,mag_res
         10,18.000000,-46.340000,719.340000,26264.900000,-43537.059000,50851.135000,11.271000,50260.770329,50936.649443,590.364671
         10,18.000000,-46.408000,705.127000,26269.600000,-43543.918000,50859.236000,11.339000,50260.135220,50946.919957,599.100780
         10,18.000000,-46.485000,686.035000,26275.500000,-43552.687000,50869.530000,11.416000,50259.416312,50958.732439,610.113688
         10,18.000000,-46.551000,680.661000,26280.100000,-43559.616000,50877.766000,11.482000,50258.800325,50969.011889,618.965675
         10,18.000000,-46.637000,668.569000,26284.300000,-43567.748000,50886.738000,11.568000,50257.997980,50982.620161,628.740020
         10,18.000000,-46.690000,664.751000,26287.600000,-43576.516000,50895.899000,11.621000,50257.503684,50991.127004,638.395316
         10,18.000000,-46.756000,669.064000,26291.200000,-43585.921000,50905.867000,11.687000,50256.888328,51001.848444,648.978672
         10,18.000000,-46.809000,673.590000,26295.900000,-43593.133000,50914.530000,11.740000,50256.394325,51010.560607,658.135675
         10,18.000000,-46.842000,667.650000,26299.700000,-43598.931000,50921.379000,11.773000,50256.086805,51016.031156,665.292195
         10,18.000000,-46.907000,659.377000,26303.800000,-43605.790000,50929.261000,11.838000,50255.481232,51026.909349,673.779768
         10,18.000000,-46.943000,646.932000,26308.400000,-43613.427000,50938.016000,11.874000,50255.145922,51032.992695,682.870078
         10,18.000000,-46.985000,631.658000,26314.600000,-43620.357000,50946.959000,11.916000,50254.754804,51040.142407,692.204196
         10,18.000000,-47.032000,628.264000,26320.400000,-43627.145000,50955.725000,11.963000,50254.317222,51048.209982,701.407778
         10,18.000000,-47.071000,630.598000,26324.500000,-43634.711000,50964.350000,12.002000,50253.954200,51054.957572,710.395800
         10,18.000000,-47.124000,624.375000,26329.000000,-43642.631000,50973.378000,12.055000,50253.460976,51064.204277,719.917024
         10,18.000000,-47.178000,616.597000,26334.800000,-43649.984000,50982.576000,12.109000,50252.958581,51073.715939,729.617419
